,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:09,12,13,3,19,25,19,12,20,9,10,9,13,19,29,12,1,13,21,17,19,2,19,18,13,8,15,20,28,16,15,6,30,19,7,21,9,15,29,16,8,13,19,25,5,4,26,27,8,7,6,9,4,22,29,15,11,8,26,5,8,10,10,18,2,0,35,13,14,33,6,21,3,16,13,4,9,4,23,4,23,25,0,10,5,11,9,2,24,34,15,15,12,36,22,7,18,30,7,3,2,7
00:02:09,12,13,3,19,25,19,12,20,9,10,9,13,19,29,12,1,13,21,17,19,2,19,18,13,8,15,20,28,16,15,6,30,19,7,21,9,15,29,16,8,13,19,25,5,4,26,27,8,7,6,9,4,22,29,15,11,8,26,5,8,10,10,18,2,0,35,13,14,33,6,21,3,16,13,4,9,4,23,4,23,25,0,10,5,11,9,2,24,34,15,15,12,36,22,7,18,30,7,3,2,7
00:04:08,12,13,3,19,25,19,12,20,9,10,9,13,19,29,12,1,13,21,17,19,2,19,18,13,8,15,20,28,16,15,6,30,19,7,21,9,15,29,16,8,13,19,25,5,4,26,27,8,7,6,9,4,22,29,15,11,8,26,5,8,10,10,18,2,0,35,13,14,33,6,21,3,16,13,4,9,4,23,4,23,25,0,10,5,11,9,2,24,34,15,15,12,36,22,7,18,30,7,3,2,7
00:06:08,12,13,3,19,25,19,12,20,9,10,9,13,19,29,12,1,13,21,17,19,2,19,18,13,8,15,20,28,16,15,6,30,19,7,21,9,15,29,16,8,13,19,25,5,4,26,27,8,7,6,9,4,22,29,15,11,8,26,5,8,10,10,18,2,0,35,13,14,33,6,21,3,16,13,4,9,4,23,4,23,25,0,10,5,11,9,2,24,34,15,15,12,36,22,7,18,30,7,3,2,7
00:08:09,12,13,3,19,25,19,12,20,9,10,9,13,19,29,12,1,13,21,17,19,2,19,18,13,8,15,20,28,16,15,6,30,19,7,21,9,15,29,16,8,13,19,25,5,4,26,27,8,7,6,9,4,22,29,15,11,8,26,5,8,10,10,18,2,0,35,13,14,33,6,21,3,16,13,4,9,4,23,4,23,25,0,10,5,11,9,2,24,34,15,15,12,36,22,7,18,30,7,3,2,7
00:10:09,12,13,3,19,25,19,12,20,9,10,9,13,19,29,12,1,13,21,17,19,2,19,18,13,8,15,20,28,16,15,6,30,19,7,21,9,15,29,16,8,13,19,25,5,4,26,27,8,7,6,9,4,22,29,15,11,8,26,5,8,10,10,18,2,0,35,13,14,33,6,21,3,16,13,4,9,4,23,4,23,25,0,10,5,11,9,2,24,34,15,15,12,36,22,7,18,30,7,3,2,7
00:12:09,12,13,3,19,25,19,12,20,9,10,9,13,19,29,12,1,13,21,17,19,2,19,18,13,8,15,20,28,16,15,6,30,19,7,21,9,15,29,16,8,13,19,25,5,4,26,27,8,7,6,9,4,22,29,15,11,8,26,5,8,10,10,18,2,0,35,13,14,33,6,21,3,16,13,4,9,4,23,4,23,25,0,10,5,11,9,2,24,34,15,15,12,36,22,7,18,30,7,3,2,7
00:14:08,12,13,3,19,25,19,12,20,9,10,9,13,19,29,12,1,13,21,17,19,2,19,18,13,8,15,20,28,16,15,6,30,19,7,21,9,15,29,16,8,13,19,25,5,4,26,27,8,7,6,9,4,22,29,15,11,8,26,5,8,10,10,18,2,0,35,13,14,33,6,21,3,16,13,4,9,4,23,4,23,25,0,10,5,11,9,2,24,34,15,15,12,36,22,7,18,30,7,3,2,7
00:16:09,12,13,3,19,25,19,12,20,9,10,9,13,19,29,12,1,13,21,17,19,2,19,18,13,8,15,20,28,16,15,6,30,19,7,21,9,15,29,16,8,13,19,25,5,4,26,27,8,7,6,9,4,22,29,15,11,8,26,5,8,10,10,18,2,0,35,13,14,33,6,21,3,16,13,4,9,4,23,4,23,25,0,10,5,11,9,2,24,34,15,15,12,36,22,7,18,30,7,3,2,7
00:18:09,12,13,3,19,25,19,12,20,9,10,9,13,19,29,12,1,13,21,17,19,2,19,18,13,8,15,20,28,16,15,6,30,19,7,21,9,15,29,16,8,13,19,25,5,4,26,27,8,7,6,9,4,22,29,15,11,8,26,5,8,10,10,18,2,0,35,13,14,33,6,21,3,16,13,4,9,4,23,4,23,25,0,10,5,11,9,2,24,34,15,15,12,36,22,7,18,30,7,3,2,7
