,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:09,8,13,2,2,29,11,14,20,4,16,16,20,25,0,18,3,21,19,14,18,20,17,10,20,10,6,16,22,10,11,4,30,20,7,12,15,20,35,19,11,3,6,21,1,8,40,29,4,11,1,15,11,24,13,13,11,15,15,7,0,11,14,12,1,10,37,5,22,24,20,29,2,23,23,6,11,11,9,14,26,26,0,8,9,20,21,12,27,34,9,4,1,39,23,12,11,24,6,4,0,9
00:02:09,8,13,2,2,29,11,14,20,4,16,16,20,25,0,18,3,21,19,14,18,20,17,10,20,10,6,16,22,10,11,4,30,20,7,12,15,20,35,19,11,3,6,21,1,8,40,29,4,11,1,15,11,24,13,13,11,15,15,7,0,11,14,12,1,10,37,5,22,24,20,29,2,23,23,6,11,11,9,14,26,26,0,8,9,20,21,12,27,34,9,4,1,39,23,12,11,24,6,4,0,9
00:04:08,8,13,2,2,28,11,14,20,4,16,16,20,25,0,18,3,21,19,14,18,20,17,10,20,10,6,16,22,11,11,4,30,20,7,12,15,20,35,19,11,3,6,21,1,8,40,29,4,11,1,14,11,24,13,13,11,15,15,6,0,11,14,12,1,10,37,5,22,24,20,29,2,23,23,6,11,10,9,14,26,26,0,8,9,20,21,13,27,34,9,4,1,39,23,12,11,24,6,4,0,9
00:06:09,8,13,2,2,28,11,14,20,4,16,16,20,25,0,18,3,21,19,14,18,20,17,10,20,10,6,15,22,11,11,4,30,20,7,12,15,20,34,19,11,3,6,21,1,8,39,29,3,10,1,14,11,24,14,13,11,15,15,6,0,11,14,12,1,10,37,5,23,24,20,29,3,23,23,6,12,10,10,14,26,27,0,8,9,20,21,13,26,34,9,4,1,39,23,12,11,24,6,4,0,9
00:08:09,8,13,2,2,28,11,14,20,4,16,16,20,25,0,18,3,21,19,14,18,20,17,10,20,10,6,15,22,11,11,4,30,20,7,12,15,20,34,19,11,3,6,21,1,8,39,29,3,10,1,14,11,24,14,13,11,15,15,6,0,11,14,12,1,10,37,5,23,24,20,29,3,23,23,6,12,10,10,14,26,27,0,8,9,20,21,13,26,34,9,4,1,39,23,12,11,24,6,4,0,9
00:10:09,8,13,2,2,29,11,14,20,4,16,16,20,25,0,18,3,21,19,15,17,20,17,9,20,11,6,15,22,10,11,4,30,20,7,12,15,20,34,19,11,3,6,21,1,8,39,28,3,10,1,14,11,24,15,13,11,15,16,6,0,11,14,12,1,10,37,5,23,24,19,29,3,23,23,6,12,10,10,14,26,28,0,8,9,20,21,13,26,34,9,4,2,39,23,12,11,22,7,4,0,9
00:12:09,8,13,2,2,29,11,14,20,4,17,16,20,25,0,18,3,22,19,15,17,20,17,9,20,11,6,15,21,10,11,4,30,20,6,12,15,20,34,19,11,3,6,21,1,8,40,28,3,10,1,14,11,24,15,14,11,15,17,6,0,11,13,12,1,9,37,5,23,24,19,28,3,23,23,6,12,10,10,14,26,28,0,8,9,21,21,13,26,34,9,4,2,39,23,12,11,22,7,4,0,9
00:14:09,8,13,2,2,29,11,14,20,4,17,16,20,25,0,18,3,22,19,15,17,20,17,9,20,11,6,15,21,10,11,4,30,20,6,12,15,20,34,19,11,3,6,21,1,8,40,28,3,10,1,14,11,24,15,14,11,15,17,6,0,11,13,12,1,9,37,5,23,24,19,28,3,23,23,6,12,10,10,14,26,28,0,8,9,21,21,13,26,34,9,4,2,39,23,12,11,22,7,4,0,9
00:16:09,8,13,2,2,29,11,14,20,4,17,16,21,25,1,18,3,22,19,15,17,20,17,9,20,11,6,16,21,10,11,4,29,20,7,12,14,20,34,19,11,3,6,21,1,8,40,28,3,9,1,14,11,24,16,14,11,15,17,6,0,11,13,12,1,8,37,6,23,24,19,28,2,23,23,6,12,10,10,15,26,29,0,8,9,21,21,13,25,34,10,4,2,39,23,12,12,22,7,4,0,9
00:18:08,8,13,2,2,29,11,14,20,4,17,16,21,25,1,18,3,22,20,15,17,20,17,9,20,12,6,16,21,10,11,4,29,20,7,12,13,20,34,19,11,3,6,21,1,8,40,28,3,9,1,14,11,24,16,15,11,15,17,6,0,11,13,12,1,8,37,6,23,24,19,28,2,23,22,6,12,10,10,15,27,29,0,9,9,21,21,13,25,34,11,4,2,39,23,12,12,22,7,3,0,9
