,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:09,13,0,0,18,31,31,21,0,23,29,18,9,18,21,7,5,30,20,4,0,3,0,0,29,16,4,7,23,39,14,3,30,0,9,0,19,17,35,1,23,3,13,5,16,6,39,30,19,21,6,15,10,33,30,0,1,36,9,6,20,5,31,10,2,10,23,12,31,27,33,32,0,22,6,24,10,0,2,6,6,29,17,5,14,23,18,17,12,27,1,9,30,12,30,12,18,9,2,1,0,4
00:02:08,13,0,0,18,31,31,21,0,23,29,18,9,18,21,7,5,30,20,4,0,3,0,0,29,16,4,7,23,39,14,3,30,0,9,0,19,17,35,1,23,3,13,5,16,6,39,30,19,21,6,15,10,33,30,0,1,36,9,6,20,5,31,10,2,10,23,12,31,27,33,32,0,22,6,24,10,0,2,6,6,29,17,5,14,23,18,17,12,27,1,9,30,12,30,12,18,9,2,1,0,4
00:04:09,13,0,0,18,31,31,22,1,23,28,18,9,18,22,7,5,30,20,4,0,3,0,0,29,16,4,7,23,39,14,3,30,0,9,0,20,17,34,0,23,3,13,4,16,5,39,29,18,19,6,15,10,33,30,0,1,36,8,5,20,5,31,10,2,9,25,12,31,25,33,31,0,23,6,24,12,0,2,6,6,30,17,4,14,23,18,17,12,27,1,10,30,12,30,12,18,9,3,1,0,4
00:06:09,13,0,0,18,31,31,22,1,23,28,18,9,18,22,7,5,30,20,4,0,3,0,0,29,16,4,7,23,39,14,3,30,0,9,0,20,17,34,0,23,3,13,4,16,5,39,29,18,19,6,15,10,33,30,0,1,36,8,5,20,5,31,10,2,9,25,12,31,25,33,31,0,23,6,24,12,0,2,6,6,30,17,4,14,23,18,17,12,27,1,10,30,12,30,12,18,9,3,1,0,4
00:08:08,13,0,0,18,31,31,22,2,23,28,18,9,18,22,7,5,30,20,4,0,3,0,0,29,16,4,7,23,39,14,3,30,0,9,0,20,17,33,0,23,2,13,4,16,5,39,29,18,19,6,15,10,33,30,0,1,36,8,5,20,5,32,10,2,9,26,12,31,25,33,31,0,23,6,24,12,0,2,6,6,30,17,4,15,23,18,17,12,27,1,10,30,12,30,13,19,7,3,1,0,4
00:10:09,13,0,0,18,31,31,23,2,23,28,18,9,18,22,7,5,30,19,4,0,3,0,0,29,17,4,7,23,39,14,3,30,0,9,0,20,17,33,0,24,2,13,5,16,5,39,29,18,19,7,15,10,33,30,0,1,36,8,5,19,5,32,10,2,9,26,10,31,25,33,31,0,22,6,24,12,0,2,6,7,30,17,4,15,23,18,17,12,27,1,12,30,12,30,13,19,7,3,1,0,4
00:12:09,13,0,0,18,31,31,23,2,23,27,18,9,18,23,7,5,30,20,4,0,3,0,0,29,17,4,7,23,39,14,3,30,0,9,0,20,16,33,0,22,2,13,5,15,5,40,29,18,19,7,15,9,33,30,1,1,36,8,5,19,5,32,10,2,8,26,9,31,25,33,31,0,21,5,24,13,0,2,6,8,30,17,4,15,23,18,17,12,27,1,11,29,12,30,13,19,8,3,1,0,4
00:14:09,13,0,0,18,31,31,23,2,23,27,18,9,18,23,7,5,30,20,4,0,3,0,0,29,17,4,7,23,39,14,3,30,0,9,0,20,16,33,0,22,2,13,5,15,5,40,29,18,19,7,15,9,33,30,1,1,36,8,5,19,5,32,10,2,8,26,9,31,25,33,31,0,21,5,24,13,0,2,6,8,30,17,4,15,23,18,17,12,27,1,11,29,12,30,13,19,8,3,1,0,4
00:16:08,14,0,0,18,31,31,23,0,23,28,18,9,18,22,7,5,30,20,4,0,3,0,0,30,17,4,7,21,39,13,3,30,0,9,0,20,16,31,0,22,2,13,5,15,4,40,28,18,16,7,15,9,33,30,2,0,36,9,5,18,5,32,10,2,8,26,9,31,25,33,31,0,22,5,24,14,0,2,6,8,30,16,3,16,23,18,21,12,27,1,11,30,12,30,13,19,9,3,1,0,4
00:18:09,14,0,0,18,31,31,23,0,23,28,18,9,18,22,7,5,30,20,4,0,3,0,0,30,17,4,7,21,39,13,3,30,0,9,0,20,16,31,0,22,2,13,5,15,4,40,28,18,16,7,15,9,33,30,2,0,36,9,5,18,5,32,10,2,8,26,9,31,25,33,31,0,22,5,24,14,0,2,6,8,30,16,3,16,23,18,21,12,27,1,11,30,12,30,13,19,9,3,1,0,4
00:20:09,14,0,0,18,30,31,23,0,23,29,18,9,18,23,7,5,30,20,4,0,3,0,0,30,17,4,7,21,39,13,3,30,0,8,0,20,16,31,0,22,2,13,5,15,4,40,28,18,16,7,15,9,33,29,2,0,36,9,5,18,5,32,10,2,8,26,9,31,24,33,31,0,22,5,24,14,0,2,6,8,30,16,3,16,24,18,21,12,27,1,11,30,12,30,13,19,9,3,1,0,4
00:22:08,14,0,0,18,30,32,22,0,23,29,18,9,18,25,8,5,30,21,4,0,3,0,0,30,17,4,7,21,39,13,3,30,0,8,0,20,18,32,0,22,2,12,5,14,4,40,28,18,16,7,15,10,33,29,2,0,35,9,5,18,5,31,10,2,9,26,9,31,25,33,31,1,22,5,24,14,0,1,6,8,30,16,4,17,24,18,22,12,27,1,11,30,12,30,13,19,8,3,1,0,4
00:24:09,14,0,0,18,30,32,22,0,23,29,18,9,18,25,8,5,30,21,4,0,3,0,0,30,17,4,7,21,39,13,3,30,0,8,0,20,18,32,0,22,2,12,5,14,4,40,28,18,16,7,15,10,33,29,2,0,35,9,5,18,5,31,10,2,9,26,9,31,25,33,31,1,22,5,24,14,0,1,6,8,30,16,4,17,24,18,22,12,27,1,11,30,12,30,13,19,8,3,1,0,4
00:26:09,14,0,0,18,30,35,23,0,22,28,18,9,18,25,8,5,30,22,4,0,3,0,0,30,18,4,6,21,39,13,3,29,0,8,0,20,18,32,0,22,2,11,5,14,4,40,29,18,16,7,15,10,33,29,2,0,35,9,5,17,5,31,10,2,10,26,9,31,25,33,31,1,23,5,24,14,0,1,6,8,30,16,4,17,24,18,24,12,27,1,11,29,12,30,13,19,8,3,1,0,4
00:28:09,14,0,0,18,30,35,24,0,22,28,18,9,18,25,8,5,30,23,4,0,3,0,0,30,18,4,5,20,39,13,3,29,0,8,0,20,18,32,0,21,2,11,5,11,4,39,29,18,16,6,15,10,33,29,2,0,35,9,5,16,5,31,10,2,10,26,9,31,25,33,31,1,23,5,24,15,1,1,6,8,30,16,4,17,24,18,26,12,27,1,11,29,12,30,13,18,8,3,1,0,4
