,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:08,23,1,12,2,16,5,12,19,8,28,8,27,10,3,1,19,12,10,17,10,2,26,15,12,21,3,14,27,23,16,1,30,6,14,17,4,3,32,12,29,16,6,28,3,7,39,30,9,17,8,18,19,31,29,35,8,26,3,2,20,2,23,40,4,20,7,10,24,29,10,16,5,22,25,5,9,11,10,3,10,29,25,9,7,9,8,2,18,27,2,28,4,9,24,6,23,11,17,3,0,18
00:02:09,23,1,12,2,16,5,12,19,8,28,8,27,10,3,1,19,12,10,17,10,2,26,15,12,21,3,14,27,23,16,1,30,6,14,17,4,3,32,12,29,16,6,28,3,7,39,30,9,17,8,18,19,31,29,35,8,26,2,2,19,2,23,40,4,20,7,10,24,29,10,17,5,22,25,5,9,11,10,3,11,30,25,9,7,9,8,2,18,27,2,28,4,9,24,6,22,11,17,3,0,19
00:04:09,23,1,12,2,16,5,12,19,8,28,8,27,10,3,1,19,12,10,17,10,2,26,15,12,21,3,14,27,23,16,1,30,6,14,17,4,3,32,12,29,16,6,28,3,7,39,30,9,17,8,18,19,31,29,35,8,26,2,2,19,2,23,40,4,20,7,10,24,29,10,17,5,22,25,5,9,11,10,3,11,30,25,9,7,9,8,2,18,27,2,28,4,9,24,6,22,11,17,3,0,19
00:06:08,23,1,12,2,16,5,12,19,9,28,8,27,10,5,2,19,12,10,17,10,2,26,15,12,21,3,14,27,23,16,1,30,6,14,17,4,3,32,11,29,16,6,28,3,7,39,30,8,17,8,17,19,31,29,36,8,26,2,2,20,2,23,40,4,20,7,10,24,29,10,17,5,22,25,5,9,11,10,3,11,30,25,9,7,9,8,2,18,27,2,28,4,9,24,6,22,11,17,2,0,19
00:08:09,23,1,12,2,16,5,12,19,9,28,8,27,10,5,2,19,12,10,17,9,2,26,15,12,20,4,12,26,23,16,1,30,6,13,17,6,3,33,11,29,16,6,28,3,6,39,30,8,17,8,17,19,31,29,36,8,26,2,2,20,2,23,40,3,20,7,11,24,29,10,17,5,22,25,5,8,11,10,3,11,30,25,9,7,9,8,2,18,27,2,28,4,9,24,6,22,11,17,2,0,19
00:10:09,23,1,12,2,16,5,12,19,9,28,8,27,10,5,2,19,12,10,17,9,2,26,15,12,20,4,12,26,23,16,1,30,6,13,17,6,3,33,11,29,16,6,28,3,6,39,30,8,17,8,17,19,31,29,36,8,26,2,2,20,2,23,40,3,20,7,11,24,29,10,17,5,22,25,5,8,11,10,3,11,30,25,9,7,9,8,2,18,27,2,28,4,9,24,6,22,11,17,2,0,19
00:12:09,23,1,12,2,16,5,13,19,9,27,8,28,10,5,2,19,12,9,17,9,2,26,15,13,19,4,8,26,23,15,1,30,6,13,17,6,3,33,11,29,16,6,27,3,6,38,30,7,17,8,15,19,31,29,36,8,26,4,2,20,2,23,40,3,20,7,11,24,29,10,17,5,22,25,5,9,11,10,3,11,30,25,9,7,9,8,2,18,27,2,28,4,9,24,7,21,11,17,2,0,19
00:14:09,23,1,12,2,16,5,13,19,9,27,8,28,10,5,2,20,12,9,17,9,2,26,15,13,19,4,8,26,23,15,1,30,6,13,17,6,3,33,11,28,16,6,26,3,6,36,30,7,17,8,15,19,31,29,36,8,26,4,2,20,2,22,40,3,19,6,10,24,29,10,17,5,22,25,5,8,11,10,3,11,30,25,9,8,9,8,2,18,27,2,28,4,9,24,7,21,10,17,2,0,19
00:16:08,23,1,12,2,16,5,13,19,9,27,8,28,10,5,2,20,12,9,17,9,2,26,15,13,19,4,8,26,23,15,1,30,6,13,17,6,3,33,11,28,16,6,26,3,6,36,30,7,17,8,15,19,31,29,36,8,26,4,2,20,2,22,40,3,19,6,10,24,29,10,17,5,22,25,5,8,11,10,3,11,30,25,9,8,9,8,2,18,27,2,28,4,9,24,7,21,10,17,2,0,19
00:18:09,23,1,12,2,16,5,14,19,9,27,8,29,10,5,2,20,12,8,16,9,2,26,14,13,19,4,8,27,23,14,1,30,6,11,17,6,3,33,11,28,16,6,26,3,5,33,30,7,16,8,15,19,31,29,36,8,26,5,2,20,2,23,40,3,19,6,10,24,29,10,17,5,22,25,5,8,10,10,3,12,30,25,9,8,9,8,2,18,27,2,28,4,9,24,7,21,9,17,0,0,19
