,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:09,9,0,1,30,28,21,29,8,33,33,24,13,20,27,5,0,22,21,2,0,13,9,0,26,26,0,7,0,40,0,3,25,1,5,1,20,20,18,1,3,10,1,7,9,12,38,18,13,2,0,3,0,34,29,1,0,17,2,2,3,2,22,1,3,1,24,1,9,34,32,35,36,14,16,25,25,3,17,7,26,16,19,24,7,14,31,29,34,23,4,16,30,19,32,19,14,3,3,6,0,2
00:02:09,9,0,1,30,28,21,29,8,33,33,24,13,20,27,5,0,22,21,2,0,13,9,0,26,26,0,7,0,40,0,3,25,1,5,1,20,20,18,1,2,10,1,7,9,12,39,18,13,2,0,3,0,34,28,1,0,17,2,1,3,2,22,1,3,1,25,1,9,34,32,35,36,14,16,25,25,3,17,7,26,16,19,24,7,14,31,29,34,23,4,16,30,19,32,19,14,3,3,6,0,2
00:04:08,9,0,1,30,28,21,29,8,33,33,24,13,20,27,5,0,22,21,2,0,13,9,0,26,26,0,7,0,40,0,3,25,1,5,1,20,20,18,1,2,10,1,7,9,13,39,17,13,2,0,3,0,34,28,1,0,17,2,1,3,2,22,1,3,1,25,1,9,34,32,35,36,14,16,25,25,3,17,7,27,16,19,24,7,14,31,29,34,23,4,16,30,19,32,19,14,3,3,6,0,2
00:06:09,9,0,1,30,28,21,29,8,33,33,24,13,20,27,5,0,22,21,2,0,13,9,0,26,26,0,7,0,40,0,3,25,1,5,1,20,20,18,1,2,10,1,7,9,13,39,17,13,2,0,3,0,34,28,1,0,17,2,1,3,2,22,1,3,1,25,1,9,34,32,35,36,14,16,25,25,3,17,7,27,16,19,24,7,14,31,29,34,23,4,16,30,19,32,19,14,3,3,6,0,2
00:08:09,9,0,1,30,28,21,29,8,33,33,24,13,20,27,5,0,22,21,2,0,13,9,0,26,26,0,7,0,40,0,3,25,1,5,1,20,20,18,1,2,10,1,7,10,13,39,17,13,2,0,3,0,34,28,1,0,17,2,2,3,2,22,1,3,0,25,1,9,34,32,35,36,14,16,25,25,3,17,7,27,16,19,24,7,14,31,29,34,23,4,16,30,19,32,19,14,3,3,6,0,2
00:10:09,9,0,1,30,28,21,29,8,33,34,24,13,20,27,5,0,22,21,2,0,13,9,0,26,27,0,7,0,40,0,3,25,1,5,1,20,20,18,1,2,10,1,7,10,13,39,17,13,2,0,2,0,34,28,1,0,17,2,2,3,2,22,1,3,0,25,1,9,34,33,35,36,14,16,25,25,3,17,7,27,16,19,24,7,14,31,29,34,23,4,16,30,19,32,19,14,4,3,6,0,2
00:12:08,9,0,1,30,28,21,29,8,33,34,24,13,20,27,5,0,22,21,2,0,13,9,0,26,27,0,7,0,40,0,3,25,1,5,1,20,20,18,1,2,10,1,7,10,13,39,17,13,2,0,2,0,34,28,1,0,17,2,2,3,2,22,1,3,0,25,1,9,34,33,35,36,14,16,25,25,3,17,7,27,16,19,24,7,14,31,29,34,23,4,16,30,19,32,19,14,4,3,6,0,2
00:14:09,9,0,1,30,28,21,29,8,33,34,24,13,20,27,5,0,22,21,2,0,13,9,0,26,27,0,7,0,40,0,3,25,1,5,1,20,20,18,0,2,10,1,6,10,13,39,17,13,1,0,2,0,34,28,1,0,17,2,2,2,2,22,0,3,0,25,1,9,34,33,35,36,13,16,25,25,2,17,7,27,16,19,24,7,14,31,29,34,23,4,16,30,19,32,19,14,4,3,6,0,2
00:16:09,9,0,1,30,28,21,29,8,33,34,24,13,20,27,5,0,22,21,2,0,13,9,0,26,27,0,7,0,40,0,3,25,1,5,1,20,20,18,0,2,10,1,6,10,13,39,17,13,1,0,2,0,34,28,1,0,17,2,2,2,2,22,0,3,0,25,1,9,34,33,35,36,13,16,25,25,2,17,7,27,16,19,24,7,14,31,29,34,23,4,16,30,19,32,19,14,4,3,6,0,2
00:18:09,9,0,1,30,28,21,29,8,33,34,24,13,20,27,5,0,22,21,2,0,13,9,0,26,28,0,7,0,40,0,3,25,1,5,1,20,20,18,0,2,10,1,6,10,13,39,17,13,1,0,2,0,34,28,1,0,17,3,2,2,2,22,0,3,0,25,1,9,34,33,35,36,13,16,25,25,2,17,7,27,16,19,24,7,14,31,29,34,23,4,16,30,19,32,19,14,4,3,6,0,2
