,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:09,3,16,6,18,20,21,26,4,4,26,28,7,25,30,4,0,18,30,19,2,22,12,9,28,15,1,8,8,16,2,3,22,5,16,0,15,19,17,0,28,0,12,1,19,31,39,25,19,17,4,13,0,19,26,3,1,34,0,12,17,0,40,20,4,11,17,1,24,16,13,17,14,12,5,25,22,5,6,12,11,22,8,8,13,11,14,24,24,21,8,18,27,23,40,14,12,2,11,9,0,7
00:02:08,3,16,6,18,20,21,26,4,4,26,28,7,25,30,4,0,18,30,19,2,22,12,9,28,15,1,8,8,16,2,3,22,5,16,0,15,19,17,0,28,0,12,1,19,31,39,25,19,17,4,13,0,19,26,3,1,34,0,12,17,0,40,20,4,11,17,1,24,16,13,17,14,12,5,25,22,5,6,12,11,22,8,8,13,11,14,24,24,21,8,18,27,23,40,14,12,2,11,9,0,7
00:04:09,3,16,6,18,20,21,26,4,4,24,28,7,25,29,4,0,18,30,19,2,22,12,9,28,15,0,9,8,16,1,3,22,5,16,0,15,19,17,0,28,0,12,1,20,31,39,25,19,17,4,12,0,19,26,3,1,34,0,13,17,0,40,20,4,11,17,1,24,16,13,17,14,11,5,25,22,5,6,12,11,22,8,8,13,11,14,24,24,21,8,18,27,24,40,14,12,2,11,10,0,7
00:06:08,3,16,6,18,21,22,26,4,4,24,28,7,25,29,4,0,18,30,19,2,22,12,9,27,15,0,8,8,16,2,3,22,5,16,0,14,18,17,0,26,0,12,1,20,32,39,25,19,17,4,12,0,19,25,3,1,34,0,13,17,0,40,20,4,11,17,1,24,16,13,17,14,11,5,25,22,4,6,12,11,22,8,8,13,11,14,24,24,21,8,18,27,24,40,14,12,2,11,10,0,7
00:08:08,3,16,6,18,21,22,26,4,4,24,28,7,25,29,4,0,18,30,19,2,22,12,9,27,15,0,8,8,16,2,3,22,5,16,0,14,18,17,0,26,0,12,1,20,32,39,25,19,17,4,12,0,19,25,3,1,34,0,13,17,0,40,20,4,11,17,1,24,16,13,17,14,11,5,25,22,4,6,12,11,22,8,8,13,11,14,24,24,21,8,18,27,24,40,14,12,2,11,10,0,7
00:10:09,3,16,6,18,21,22,26,5,4,24,28,9,25,29,4,0,18,30,19,1,22,12,9,27,16,0,7,8,17,2,3,22,5,15,0,14,18,17,0,25,0,12,1,20,33,38,25,19,17,4,11,0,19,25,3,1,34,0,13,17,0,40,20,4,9,17,1,24,16,13,17,14,11,5,25,22,4,5,12,10,22,8,8,13,11,14,24,24,21,8,18,28,24,40,14,13,2,10,10,0,7
00:12:09,3,16,6,18,22,22,26,5,5,24,28,10,25,29,4,0,18,30,19,1,22,12,9,27,17,0,6,8,17,2,3,22,5,15,0,15,18,17,0,25,0,12,1,20,33,39,25,19,16,4,11,0,19,25,3,1,35,0,13,16,1,40,20,4,9,17,1,24,16,13,17,14,11,6,25,22,4,5,12,10,22,8,8,13,12,14,24,24,21,8,18,28,24,40,15,13,2,10,10,0,7
00:14:08,3,16,6,18,22,22,26,5,5,24,28,10,25,29,4,0,18,30,19,1,22,12,9,27,17,0,6,8,17,2,3,22,5,15,0,15,18,17,0,25,0,12,1,20,33,39,25,19,16,4,11,0,19,25,3,1,35,0,13,16,1,40,20,4,9,17,1,24,16,13,17,14,11,6,25,22,4,5,12,10,22,8,8,13,12,14,24,24,21,8,18,28,24,40,15,13,2,10,10,0,7
00:16:09,3,16,6,18,22,22,26,6,5,24,28,11,25,29,4,0,18,30,18,1,22,12,8,27,18,0,6,8,17,2,3,22,5,15,0,15,17,17,0,25,1,12,1,20,33,39,24,19,16,4,11,0,19,25,3,1,35,0,13,16,0,40,20,4,9,17,1,24,17,13,17,14,11,6,25,22,4,5,12,10,23,8,8,13,13,14,24,24,21,9,18,28,24,40,15,13,3,10,10,0,7
00:18:08,3,16,6,18,22,23,26,6,5,24,28,11,25,29,4,0,19,30,18,1,22,11,8,27,18,0,5,9,17,2,3,22,5,16,0,15,16,16,0,26,1,12,1,20,33,39,24,19,16,4,11,0,19,25,3,1,35,1,13,16,0,40,20,4,9,17,2,24,17,13,17,14,11,4,25,22,3,5,12,10,23,8,8,12,13,14,24,24,21,9,18,28,24,40,15,13,4,10,10,0,8
