,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:08,16,1,3,30,31,20,17,4,24,33,37,17,18,22,17,6,11,28,17,0,21,6,0,30,16,2,1,8,39,0,8,29,0,2,5,20,10,5,2,0,21,0,0,1,33,30,1,6,0,8,0,1,40,19,3,1,14,19,11,0,1,39,12,1,0,38,2,13,34,36,40,9,14,0,28,27,1,6,7,21,24,23,17,14,27,27,24,13,29,2,1,24,18,32,22,8,13,6,7,0,4
00:02:09,16,1,3,30,31,20,17,4,24,33,37,17,18,22,17,6,11,28,17,0,21,6,0,30,16,2,1,8,39,0,8,29,0,2,5,20,10,5,2,0,21,0,0,1,33,30,1,6,0,9,0,1,40,19,3,1,15,19,11,0,1,39,11,1,0,38,2,13,34,36,40,9,14,0,28,27,1,6,7,21,24,23,17,14,27,27,24,14,29,2,1,25,18,32,22,8,12,6,7,0,4
00:04:09,16,1,3,30,31,20,17,4,24,33,37,17,18,22,17,6,11,28,17,0,21,6,0,30,16,2,1,8,39,0,8,29,0,2,5,20,10,5,2,0,21,0,0,1,33,30,1,6,0,9,0,1,40,19,3,1,15,19,11,0,1,39,11,1,0,38,2,13,34,36,40,9,14,0,28,27,1,6,7,21,24,23,17,14,27,27,24,14,29,2,1,25,18,32,22,8,12,6,7,0,4
00:06:08,16,1,3,30,31,20,17,4,24,33,37,17,18,22,18,6,11,28,17,0,21,6,0,30,16,2,1,8,39,0,8,29,0,3,5,20,10,5,2,0,21,0,0,1,33,30,1,6,0,9,0,1,40,19,3,1,15,19,11,0,1,39,11,1,0,38,1,13,34,36,40,9,14,0,28,27,1,6,7,21,24,23,17,14,27,27,25,14,29,2,1,25,18,32,22,8,12,6,7,0,4
00:08:09,16,1,3,30,31,20,18,4,24,33,37,17,18,23,18,6,12,28,17,0,21,5,0,30,16,2,1,7,39,0,8,29,0,3,5,20,10,5,2,0,21,0,0,0,33,30,1,6,0,9,0,1,40,20,3,1,15,19,11,0,0,39,11,1,0,38,1,13,34,36,40,9,14,0,28,27,0,6,7,21,24,23,17,14,27,27,25,14,29,2,1,25,18,32,22,8,12,6,7,0,4
00:10:09,16,1,3,30,31,20,18,4,24,33,37,17,18,23,18,6,12,28,17,0,21,5,0,30,16,2,1,7,39,0,8,29,0,3,5,20,10,5,2,0,21,0,0,0,33,30,1,6,0,9,0,1,40,20,3,1,15,19,11,0,0,39,11,1,0,38,1,13,34,36,40,9,14,0,28,27,0,6,7,21,24,23,17,14,27,27,25,14,29,2,1,25,18,32,22,8,12,6,7,0,4
00:12:09,16,1,3,30,31,20,19,4,24,33,37,17,18,23,18,6,12,28,17,0,21,5,0,30,16,2,1,6,39,0,8,29,0,3,5,20,10,5,2,0,22,0,0,0,33,32,0,6,0,9,0,1,40,20,3,1,15,19,11,0,0,39,11,1,0,38,0,13,34,36,40,10,13,0,28,27,0,6,7,21,24,23,17,14,28,27,25,14,29,2,1,25,18,32,22,8,11,6,6,0,4
00:14:08,16,1,3,30,31,20,19,4,24,33,37,17,18,23,18,6,12,28,17,0,20,5,0,30,16,2,1,5,39,0,8,29,0,3,5,20,10,5,2,0,22,0,0,0,33,33,0,6,0,9,0,1,40,20,3,1,15,18,11,0,0,39,11,1,0,38,0,13,34,36,40,10,14,0,28,27,0,6,7,21,24,23,17,13,28,27,25,14,29,2,1,25,18,32,22,9,11,6,6,0,4
00:16:09,16,1,3,30,31,20,19,4,24,33,37,17,18,23,18,6,12,28,17,0,20,5,0,30,16,2,1,5,39,0,8,29,0,3,5,20,10,5,2,0,22,0,0,0,33,33,0,6,0,9,0,1,40,20,3,1,15,18,11,0,0,39,11,1,0,38,0,13,34,36,40,10,14,0,28,27,0,6,7,21,24,23,17,13,28,27,25,14,29,2,1,25,18,32,22,9,11,6,6,0,4
00:18:09,16,1,3,30,31,20,19,4,24,33,37,17,18,23,18,6,12,28,17,0,20,5,0,30,16,2,1,5,39,0,8,29,0,3,5,20,10,5,2,1,22,0,0,0,33,33,0,6,0,9,0,1,40,20,3,1,15,18,10,0,0,38,11,1,0,38,0,13,34,36,40,10,14,0,28,27,0,6,7,21,24,23,19,13,28,27,25,14,29,2,1,25,18,32,22,9,11,6,6,0,4
