,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:09,1,1,9,30,36,26,29,8,27,28,36,17,23,15,25,1,21,27,6,0,11,0,1,30,23,2,0,2,31,0,3,30,0,5,1,20,12,0,7,3,3,0,0,0,17,40,8,10,0,9,0,0,40,22,1,8,7,4,6,0,0,40,2,13,1,30,2,22,39,38,40,1,0,0,29,39,13,11,12,23,29,1,15,17,33,26,30,40,24,7,1,28,26,33,22,0,30,0,3,1,1
00:02:08,1,1,9,30,36,26,29,8,27,28,36,16,23,15,25,1,21,26,6,0,11,0,1,30,23,2,0,2,31,0,3,30,0,5,1,20,12,0,7,3,3,0,0,0,17,40,8,10,0,8,0,0,40,21,1,8,7,4,6,0,0,40,2,13,1,30,2,22,40,38,40,1,0,0,29,39,13,11,12,23,29,1,15,17,33,27,30,40,24,7,1,28,26,33,22,0,30,0,4,1,1
00:04:09,1,1,9,30,36,26,29,8,27,28,36,16,23,15,25,1,21,26,6,0,11,0,1,30,23,2,0,2,31,0,3,30,0,5,1,20,12,0,7,3,3,0,0,0,17,40,8,10,0,8,0,0,40,21,1,8,7,4,6,0,0,40,2,13,1,30,2,22,40,38,40,1,0,0,29,39,13,11,12,23,29,1,15,17,33,27,30,40,24,7,1,28,26,33,22,0,30,0,4,1,1
00:06:09,1,1,9,30,36,26,29,8,27,27,36,16,23,15,25,1,21,26,6,0,11,0,1,30,23,2,0,2,31,0,3,30,0,5,1,20,11,0,7,2,3,0,0,0,17,40,8,10,0,9,0,0,40,21,1,8,7,4,5,0,0,40,2,13,1,31,2,22,40,38,40,1,0,0,29,39,12,11,12,23,29,1,15,17,33,27,29,40,24,7,1,28,26,33,22,0,30,0,4,3,1
00:08:09,1,1,9,30,36,26,29,8,27,27,36,16,23,15,25,1,21,26,6,0,11,0,1,30,23,2,0,2,31,0,3,30,0,5,1,20,11,0,7,2,3,0,0,0,17,40,8,10,0,9,0,0,40,21,1,8,7,4,5,0,0,40,2,13,1,32,2,22,40,38,40,1,0,0,29,39,12,10,12,23,29,1,15,18,33,27,29,40,24,7,1,28,26,33,22,0,30,0,4,3,1
00:10:08,1,1,9,30,36,26,29,8,27,27,36,16,23,15,25,1,21,26,6,0,11,0,1,30,23,2,0,2,31,0,3,30,0,5,1,20,11,0,7,2,3,0,0,0,17,40,8,10,0,9,0,0,40,21,1,8,7,4,5,0,0,40,2,13,1,32,2,22,40,38,40,1,0,0,29,39,12,10,12,23,29,1,15,18,33,27,29,40,24,7,1,28,26,33,22,0,30,0,4,3,1
00:12:08,1,1,9,30,36,26,29,8,27,25,36,16,23,15,27,1,20,26,6,0,11,0,1,30,23,2,0,2,31,0,4,30,0,5,1,20,10,0,7,1,3,0,0,0,17,40,8,10,0,9,0,0,40,21,1,8,7,4,4,0,0,40,2,13,1,32,2,22,40,38,40,0,0,0,29,39,12,10,13,22,30,1,15,18,33,27,30,40,24,7,1,28,26,33,22,0,30,0,4,3,1
00:14:09,1,1,9,30,36,26,29,8,27,25,36,16,23,15,27,1,20,26,6,0,11,0,1,30,23,2,0,2,31,0,4,30,0,5,1,20,10,0,7,1,3,0,0,0,17,40,8,10,0,9,0,0,40,21,1,8,7,4,4,0,0,40,2,13,1,32,2,22,40,38,40,0,0,0,29,39,12,10,13,22,30,1,15,18,33,27,30,40,24,7,1,28,26,33,22,0,30,0,4,3,1
00:16:09,1,1,9,30,36,26,29,8,27,25,36,16,23,17,27,1,20,26,6,0,12,0,1,30,23,2,0,1,31,0,4,30,0,5,1,20,8,0,7,2,2,0,1,0,16,39,8,10,0,9,0,0,40,20,1,7,7,5,4,0,0,40,2,13,1,32,2,22,40,38,40,0,0,0,28,39,11,10,13,22,30,1,15,19,33,27,30,40,24,7,1,28,26,33,22,0,30,0,4,3,1
00:18:09,1,1,9,30,36,26,30,8,27,25,36,16,23,17,27,1,20,26,6,0,12,0,1,30,23,3,0,1,31,0,4,30,0,5,1,20,8,0,7,2,2,0,1,0,16,39,7,10,0,9,0,0,40,20,1,7,7,5,4,0,1,39,2,13,1,32,2,22,40,38,40,0,0,0,28,39,11,12,13,22,30,1,15,19,33,28,30,40,24,7,1,28,26,33,22,0,30,0,4,3,1
00:20:08,1,1,9,30,36,26,30,8,27,25,36,16,23,17,27,1,20,26,6,0,12,0,1,30,23,3,0,1,31,0,4,30,0,5,1,20,8,0,7,2,2,0,1,0,16,39,7,10,0,9,0,0,40,20,1,7,7,5,4,0,1,39,2,13,1,32,2,22,40,38,40,0,0,0,28,39,11,12,13,22,30,1,15,19,33,28,30,40,24,7,1,28,26,33,22,0,30,0,4,3,1
00:22:09,1,1,9,30,37,26,30,8,27,25,36,16,23,17,27,1,20,26,6,0,12,0,1,30,24,3,0,1,31,0,4,30,0,5,1,20,8,0,7,2,2,0,1,0,16,39,6,10,0,9,0,0,40,20,1,7,7,5,3,0,1,39,2,13,1,33,2,22,40,38,40,0,0,0,28,39,11,12,13,22,30,1,15,19,33,29,30,40,24,7,1,28,26,33,22,0,30,0,4,3,1
00:24:09,1,1,9,30,37,26,30,8,27,25,36,16,23,18,27,1,20,26,6,0,15,0,1,30,24,3,0,1,31,0,4,30,0,5,1,20,7,0,7,2,2,0,1,0,16,39,6,10,0,9,0,0,40,20,1,7,7,5,3,0,0,39,2,13,1,33,1,22,40,38,40,0,0,0,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,28,27,33,22,0,30,0,4,3,1
00:26:09,1,1,9,30,37,26,30,8,27,25,36,16,23,18,27,1,20,26,6,0,15,0,1,30,24,3,0,1,31,0,4,30,0,5,1,20,7,0,7,2,2,0,1,0,16,39,6,10,0,9,0,0,40,20,1,7,7,5,3,0,0,39,2,13,1,33,1,22,40,38,40,0,0,0,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,28,27,33,22,0,30,0,4,3,1
00:28:09,1,1,9,30,37,26,30,8,27,25,36,16,23,19,27,1,20,26,6,0,15,0,1,30,25,3,0,0,31,0,4,30,0,5,1,20,7,0,7,2,2,1,1,0,16,39,5,10,0,9,0,0,40,20,1,7,7,5,3,0,0,39,2,13,1,33,2,22,40,38,40,0,0,0,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,28,27,33,22,0,30,0,4,3,1
00:30:09,1,1,9,30,37,26,30,8,27,25,36,15,23,19,27,1,20,26,6,0,15,0,1,30,25,3,0,0,31,0,4,30,0,5,1,20,7,0,7,2,2,1,1,0,16,39,5,10,0,9,0,0,40,19,1,7,7,4,3,0,0,39,2,13,1,33,2,22,40,38,40,0,0,1,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,28,27,33,22,0,30,0,4,3,1
00:32:09,1,1,9,30,37,26,30,8,27,25,36,15,23,19,27,1,20,26,6,0,15,0,1,30,25,3,0,0,31,0,4,30,0,5,1,20,7,0,7,2,2,1,1,0,16,39,5,10,0,9,0,0,40,19,1,7,7,4,3,0,0,39,2,13,1,33,2,22,40,38,40,0,0,1,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,28,27,33,22,0,30,0,4,3,1
00:34:08,1,1,9,30,37,26,30,8,27,25,36,15,23,19,27,1,20,25,6,0,15,0,1,30,26,3,0,0,31,0,4,30,0,5,1,20,6,0,6,1,2,1,1,0,16,39,5,10,0,9,0,0,40,19,1,7,6,4,3,0,1,39,2,13,1,33,2,22,40,38,40,0,0,1,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,29,27,33,22,0,30,0,4,3,1
00:36:08,1,1,9,30,37,26,30,8,27,25,36,15,24,19,27,1,21,25,6,0,15,0,1,30,26,3,0,0,31,0,4,30,0,4,1,20,6,0,6,1,2,1,1,0,16,39,4,10,0,9,0,0,40,19,1,7,6,4,3,0,1,39,2,13,1,33,2,22,40,38,40,0,0,1,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,29,27,33,22,0,30,0,4,3,1
00:38:09,1,1,9,30,37,26,30,8,27,25,36,15,24,19,27,1,21,25,6,0,15,0,1,30,26,3,0,0,31,0,4,30,0,4,1,20,6,0,6,1,2,1,1,0,16,39,4,10,0,9,0,0,40,19,1,7,6,4,3,0,1,39,2,13,1,33,2,22,40,38,40,0,0,1,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,29,27,33,22,0,30,0,4,3,1
00:40:09,1,1,9,30,37,26,30,8,27,25,37,15,24,19,27,1,22,25,6,0,15,0,1,30,27,3,0,0,31,0,4,30,0,4,1,20,6,0,6,1,2,1,1,0,16,39,4,10,0,9,0,0,40,19,1,7,6,5,3,0,1,39,2,13,1,33,2,22,40,38,40,0,0,1,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,29,27,33,22,0,30,0,4,3,1
00:42:08,1,1,9,30,37,26,30,8,27,25,37,15,24,19,27,1,22,25,6,0,15,0,1,30,27,3,0,0,31,0,4,30,0,4,1,20,6,0,6,1,2,1,1,0,16,39,4,10,0,9,0,0,40,19,1,7,6,5,3,0,1,39,2,13,1,33,2,22,40,38,40,0,0,1,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,29,27,33,22,0,30,0,4,3,1
00:44:09,1,1,9,30,37,26,30,8,27,25,37,15,24,19,27,1,22,25,6,0,15,0,1,30,27,3,0,0,31,0,4,30,0,4,1,20,6,0,6,1,2,1,1,0,16,39,4,10,0,9,0,0,40,19,1,7,6,5,3,0,1,39,2,13,1,33,2,22,40,38,40,0,0,1,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,29,27,33,22,0,30,0,4,3,1
00:46:09,1,1,9,30,37,26,30,8,27,25,37,15,24,19,27,1,22,25,6,0,15,0,1,30,27,3,0,0,31,0,4,30,0,4,1,20,6,0,6,1,2,1,1,0,16,39,4,10,0,9,0,0,40,19,1,7,6,5,3,0,1,39,2,13,2,33,2,22,40,38,40,0,0,1,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,29,27,33,22,0,30,0,4,3,1
00:48:09,1,1,9,30,37,26,30,8,27,25,37,15,24,19,27,1,22,25,6,0,15,0,1,30,27,3,0,0,31,0,4,30,0,4,1,20,6,0,6,1,2,1,1,0,16,39,4,10,0,9,0,0,40,19,1,7,6,5,3,0,1,39,2,13,2,33,2,22,40,38,40,0,0,1,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,29,27,33,22,0,30,0,4,3,1
00:50:08,1,1,9,30,37,26,30,8,27,25,37,15,24,19,27,1,22,25,6,0,15,0,1,30,27,3,0,0,31,0,4,30,0,4,1,20,6,0,6,1,2,1,1,0,16,39,4,10,0,9,0,0,40,19,1,7,6,5,3,0,1,39,2,13,2,33,2,22,40,38,40,0,0,1,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,29,27,33,22,0,30,0,4,3,1
00:52:08,1,1,9,30,37,26,30,8,28,25,37,15,24,19,27,1,22,25,6,0,15,0,1,30,27,3,0,0,31,0,4,30,0,4,1,20,6,0,6,1,2,1,1,0,16,39,4,10,0,9,0,0,40,19,1,7,6,5,3,0,1,39,2,13,2,33,2,22,40,38,40,0,0,1,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,29,27,33,22,0,30,0,4,3,1
00:54:09,1,1,9,30,37,26,30,8,28,25,37,15,24,19,27,1,22,25,6,0,15,0,1,30,27,3,0,0,31,0,4,30,0,4,1,20,6,0,6,1,2,1,1,0,16,39,4,10,0,9,0,0,40,19,1,7,6,5,3,0,1,39,2,13,2,33,2,22,40,38,40,0,0,1,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,29,27,33,22,0,30,0,4,3,1
00:56:09,1,1,9,30,37,26,30,8,28,25,37,15,24,19,27,1,22,25,6,0,15,0,1,30,27,3,0,0,31,0,4,30,0,4,1,20,6,0,6,1,2,1,1,0,16,39,4,10,0,9,0,0,40,19,1,7,6,5,3,0,1,39,2,13,2,33,2,22,40,38,40,0,0,1,28,39,10,12,13,22,30,1,15,19,34,29,30,40,24,7,1,29,27,33,22,0,30,0,4,3,1
