,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:08,4,0,3,30,38,25,29,16,6,33,29,28,25,20,6,0,29,21,3,0,16,13,0,25,28,0,0,10,26,1,0,30,2,8,5,20,18,14,3,1,3,1,1,1,4,38,19,12,0,17,2,0,33,30,4,0,4,13,7,1,14,9,0,7,1,35,0,18,36,8,33,4,4,1,29,30,5,10,13,27,24,17,6,20,31,26,30,27,34,8,13,30,27,39,22,0,25,3,7,1,3
00:02:09,3,0,3,30,38,25,29,16,6,33,29,28,25,20,6,0,29,20,3,0,16,13,0,25,28,0,0,10,26,1,0,30,2,8,5,20,18,14,3,1,3,1,1,1,4,38,19,12,0,17,2,0,33,30,4,0,4,12,7,1,14,9,0,7,1,35,0,18,37,9,33,3,4,1,29,31,5,10,14,27,24,17,6,20,31,27,30,27,34,8,13,29,27,39,22,0,25,3,7,1,3
00:04:09,3,0,3,30,38,25,29,16,6,33,29,28,25,20,6,0,29,20,3,0,16,13,0,25,28,0,0,10,26,1,0,30,2,8,5,20,18,14,3,1,3,1,1,1,4,38,19,12,0,17,2,0,33,30,4,0,4,12,7,1,14,9,0,7,1,35,0,18,37,9,33,3,4,1,29,31,5,10,14,27,24,17,6,20,31,27,30,27,34,8,13,29,27,39,22,0,25,3,7,1,3
00:06:09,3,0,3,30,38,25,29,15,6,34,29,28,25,21,6,1,29,20,3,0,16,13,0,25,28,0,0,10,26,1,0,30,2,8,5,20,17,14,3,1,3,1,1,1,5,38,19,12,0,17,2,0,33,30,4,0,4,12,7,1,14,9,0,7,1,35,0,18,37,9,32,3,4,1,29,31,6,10,14,27,24,17,6,19,32,27,30,27,34,8,13,29,27,39,22,0,25,3,7,1,2
00:08:08,3,0,3,30,39,25,29,15,6,34,29,28,25,21,6,1,29,20,3,0,17,13,0,25,28,1,1,9,27,1,0,30,2,8,5,20,17,14,3,0,3,1,1,1,6,38,19,12,0,18,0,0,33,30,4,0,4,12,7,1,14,9,0,7,1,36,1,18,37,9,32,3,3,1,29,31,6,9,14,27,25,17,6,19,32,27,30,27,34,8,12,29,27,39,22,0,25,2,7,1,2
00:10:09,3,0,3,30,39,25,29,15,6,34,29,28,25,21,6,1,29,20,3,0,17,13,0,25,28,1,1,9,27,1,0,30,2,8,5,20,17,14,3,0,3,1,1,1,6,38,19,12,0,18,0,0,33,30,4,0,4,12,7,1,14,9,0,7,1,36,1,18,37,9,32,3,3,1,29,31,6,9,14,27,25,17,6,19,32,27,30,27,34,8,12,29,27,39,22,0,25,2,7,1,2
00:12:09,3,0,3,30,39,25,29,15,6,34,29,28,25,21,7,1,29,20,3,0,17,13,0,25,28,1,0,8,27,1,0,30,2,8,5,20,17,14,3,0,3,1,1,1,6,38,19,12,0,18,0,0,33,30,4,0,4,12,7,1,14,9,0,7,1,36,1,18,37,9,32,3,3,1,29,31,7,8,14,27,25,17,6,19,32,27,29,27,34,8,12,29,27,39,22,0,25,2,7,1,2
00:14:09,3,0,3,30,39,25,29,15,6,34,29,29,25,21,7,1,29,20,3,0,17,12,0,25,28,0,0,8,27,1,0,30,2,7,5,20,17,14,3,0,3,1,1,1,6,38,19,12,0,18,0,0,33,30,4,0,4,12,7,1,14,9,0,7,1,36,1,18,37,9,32,4,3,1,29,31,6,8,14,27,25,17,6,19,32,27,29,27,34,8,12,28,27,39,22,0,25,2,7,1,2
00:16:08,3,0,3,30,39,25,29,15,6,34,29,29,25,21,7,1,29,20,3,0,17,12,0,25,28,0,0,8,27,1,0,30,2,7,5,20,17,14,3,0,3,1,1,1,6,38,19,12,0,18,0,0,33,30,4,0,4,12,7,1,14,9,0,7,1,36,1,18,37,9,32,4,3,1,29,31,6,8,14,27,25,17,6,19,32,27,29,27,34,8,12,28,27,39,22,0,25,2,7,1,2
00:18:09,3,0,3,30,39,25,29,15,6,34,29,29,25,21,8,1,30,20,2,0,17,12,0,25,28,0,0,8,26,0,0,30,2,7,4,20,16,14,3,0,3,2,1,2,6,38,18,12,0,18,1,0,33,30,4,0,4,12,7,1,14,9,0,7,0,36,0,18,37,9,32,4,3,1,29,31,6,9,14,28,25,17,6,19,32,27,30,27,34,8,12,28,27,39,22,0,26,2,7,1,2
00:20:09,3,0,3,30,39,25,29,15,6,33,29,29,25,20,8,1,30,20,2,0,17,12,0,25,28,0,0,8,26,0,0,29,2,8,4,20,16,14,3,2,3,2,1,2,6,38,18,12,0,17,2,0,33,30,4,0,4,12,8,1,14,9,0,7,0,36,0,18,38,9,32,4,3,1,29,31,6,9,14,29,26,17,6,19,32,27,30,27,34,8,11,28,28,39,22,0,27,2,7,1,2
00:22:08,3,0,3,30,39,25,29,15,6,33,29,29,25,20,8,1,30,20,2,0,17,12,0,25,28,0,0,8,26,0,0,29,2,8,4,20,16,14,3,2,3,2,1,2,6,38,18,12,0,17,2,0,33,30,4,0,4,12,8,1,14,9,0,7,0,36,0,18,38,9,32,4,3,1,29,31,6,9,14,29,26,17,6,19,32,27,30,27,34,8,11,28,28,39,22,0,27,2,7,1,2
00:24:09,3,0,3,30,39,26,29,15,6,32,29,29,25,20,8,1,30,20,2,0,17,12,0,25,28,0,0,7,26,0,0,29,2,8,4,20,16,14,3,2,3,2,0,2,6,39,17,12,0,18,2,0,33,30,4,0,4,12,8,1,14,9,0,7,0,36,0,18,38,9,33,4,3,1,29,30,6,10,14,29,26,17,6,19,32,27,30,27,34,8,11,28,28,39,22,0,27,2,7,1,2
