,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:09,4,7,6,29,40,35,27,18,20,17,35,28,22,23,14,1,28,29,3,0,14,7,1,22,25,5,5,9,34,0,2,25,0,11,0,20,3,3,2,10,3,13,3,9,6,22,12,16,0,13,0,1,40,30,4,0,18,14,0,0,4,7,0,17,0,22,6,6,37,38,36,0,11,0,19,9,4,1,2,14,25,13,19,13,31,32,30,39,30,6,0,26,34,37,22,0,22,4,13,1,0
00:02:08,4,7,6,29,40,35,27,18,20,17,35,28,22,23,14,1,28,29,3,0,14,7,1,22,25,5,5,9,34,0,2,25,0,11,0,20,3,3,2,10,3,13,3,9,6,22,12,16,0,13,0,1,40,30,4,0,18,14,0,0,4,7,0,17,0,22,6,6,37,38,36,0,11,0,19,9,4,1,2,14,25,13,19,13,31,32,30,39,30,6,0,26,34,37,22,0,22,4,13,1,0
00:04:08,4,7,6,29,40,35,27,18,20,17,35,28,22,23,14,1,28,29,3,0,14,7,0,22,25,5,4,9,34,0,2,25,0,11,0,20,3,3,2,10,3,12,3,9,6,22,12,16,0,13,0,1,40,30,4,0,18,14,0,0,4,7,0,17,0,22,6,6,37,38,36,0,11,0,19,9,4,1,2,14,25,13,20,13,31,32,30,39,30,6,0,26,34,37,22,0,22,4,13,1,0
00:06:09,4,7,6,29,40,35,27,18,20,17,35,27,22,23,15,1,28,29,3,0,14,7,0,22,25,5,4,8,34,0,2,25,0,10,0,20,3,3,2,10,3,12,3,9,6,21,12,15,0,13,0,1,40,30,4,0,18,14,0,0,4,7,0,17,0,23,6,6,37,38,36,0,10,0,19,9,5,1,2,14,25,13,20,13,31,33,30,40,30,6,0,26,35,37,22,0,22,4,13,1,0
00:08:09,4,7,6,29,40,35,27,18,20,17,35,27,22,23,15,1,28,29,3,0,14,7,0,22,25,5,4,8,34,0,2,25,0,10,0,20,3,3,2,10,3,12,3,9,6,21,12,15,0,13,0,1,40,30,4,0,18,14,0,0,4,7,0,17,0,23,6,6,37,38,36,0,10,0,19,9,5,1,2,14,25,13,20,13,31,33,30,40,30,6,0,26,35,37,22,0,22,4,13,1,0
00:10:09,4,7,6,30,40,35,27,18,21,17,38,27,22,24,15,1,28,29,3,0,14,6,0,22,25,5,4,8,34,0,2,25,0,10,0,20,4,3,2,10,3,12,3,9,6,21,12,15,0,13,0,1,40,30,4,0,18,14,0,0,4,7,0,17,0,23,6,6,37,38,36,0,9,0,19,9,5,1,2,14,25,13,20,13,31,33,30,40,30,6,0,26,37,37,22,0,22,4,13,1,0
00:12:08,4,7,6,30,40,35,27,18,21,17,38,27,22,25,15,1,28,29,3,0,14,6,0,21,25,5,4,8,34,0,2,25,0,10,0,20,4,3,2,10,3,11,3,9,6,21,11,15,0,13,0,1,40,30,4,0,18,14,0,1,4,7,0,17,0,23,6,6,37,38,36,0,9,0,19,9,5,2,2,14,25,13,20,13,31,33,30,40,30,6,0,26,37,37,22,0,23,4,13,1,0
00:14:08,4,7,6,30,40,35,27,18,21,17,38,27,22,25,15,1,28,29,3,0,14,6,0,21,25,5,4,8,34,0,2,25,0,10,0,20,4,3,2,10,3,11,3,9,6,21,11,15,0,13,0,1,40,30,4,0,18,14,0,1,4,7,0,17,0,23,6,6,37,38,36,0,9,0,19,9,5,2,2,14,25,13,20,13,31,33,30,40,30,6,0,26,37,37,22,0,23,4,13,1,0
00:16:09,4,7,6,30,40,35,27,18,22,17,38,27,22,25,15,1,30,29,3,0,15,6,0,22,27,4,4,8,34,0,2,25,0,10,0,20,4,3,2,9,3,11,3,8,6,21,10,14,0,13,0,1,40,29,4,0,18,14,0,1,4,7,0,17,0,23,6,6,37,38,36,0,9,0,19,9,5,2,2,14,25,13,21,13,31,33,30,40,30,6,0,26,37,37,22,0,23,4,13,1,0
00:18:09,4,7,6,30,40,35,27,18,22,17,38,27,22,25,15,1,30,29,3,0,15,6,0,22,27,4,3,7,34,0,2,26,0,10,0,20,4,3,2,8,3,11,3,8,6,20,10,14,0,13,0,1,40,29,4,0,19,14,0,1,4,7,0,17,0,23,6,6,36,38,36,0,9,0,20,9,5,2,2,14,26,13,21,13,32,33,30,40,30,6,0,26,37,37,22,0,23,4,13,1,0
